   287.000000       1.39999998    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           4           3
          25          70          15
   IIN     XIN       REL SPACING 
   0.54336  -1.04338   0.13765
   0.55122  -1.05625   0.13663
   0.55906  -1.06904   0.13557
   0.56689  -1.08176   0.13448
   0.57471  -1.09440   0.13335
   0.58250  -1.10696   0.13218
   0.59028  -1.11944   0.13098
   0.59803  -1.13182   0.12974
   0.60576  -1.14412   0.12847
   0.61346  -1.15632   0.12716
   0.62113  -1.16843   0.12583
   0.62877  -1.18044   0.12446
   0.63638  -1.19235   0.12306
   0.64396  -1.20417   0.12164
   0.65150  -1.21588   0.12019
   0.65901  -1.22748   0.11871
   0.66647  -1.23898   0.11720
   0.67389  -1.25036   0.11568
   0.68127  -1.26164   0.11413
   0.68860  -1.27280   0.11256
   0.69589  -1.28385   0.11096
   0.70313  -1.29478   0.10935
   0.71031  -1.30560   0.10772
   0.71745  -1.31629   0.10608
   0.72453  -1.32686   0.10442
   0.73155  -1.33731   0.10274
   0.73852  -1.34763   0.10105
   0.74543  -1.35783   0.09935
   0.75228  -1.36790   0.09764
   0.75906  -1.37784   0.09592
   0.76578  -1.38765   0.09419
   0.77243  -1.39732   0.09246
   0.77901  -1.40687   0.09072
   0.78553  -1.41628   0.08897
   0.79197  -1.42555   0.08723
   0.79834  -1.43469   0.08548
   0.80464  -1.44369   0.08373
   0.81086  -1.45255   0.08198
   0.81701  -1.46127   0.08024
   0.82307  -1.46985   0.07850
   0.82905  -1.47829   0.07676
   0.83496  -1.48658   0.07503
   0.84077  -1.49473   0.07330
   0.84651  -1.50274   0.07159
   0.85216  -1.51060   0.06988
   0.85771  -1.51832   0.06819
   0.86318  -1.52588   0.06651
   0.86856  -1.53330   0.06484
   0.87385  -1.54058   0.06318
   0.87905  -1.54770   0.06155
   0.88415  -1.55467   0.05993
   0.88915  -1.56149   0.05832
   0.89406  -1.56817   0.05674
   0.89887  -1.57469   0.05518
   0.90358  -1.58105   0.05363
   0.90819  -1.58727   0.05212
   0.91270  -1.59333   0.05062
   0.91710  -1.59924   0.04915
   0.92140  -1.60500   0.04770
   0.92560  -1.61060   0.04629
   0.92969  -1.61605   0.04490
   0.93367  -1.62134   0.04354
   0.93754  -1.62648   0.04220
   0.94131  -1.63146   0.04090
   0.94496  -1.63628   0.03964
   0.94851  -1.64095   0.03840
   0.95194  -1.64547   0.03720
   0.95526  -1.64982   0.03603
   0.95847  -1.65402   0.03489
   0.96156  -1.65807   0.03380
   0.96454  -1.66195   0.03274
   0.96740  -1.66568   0.03171
   0.97015  -1.66925   0.03073
   0.97277  -1.67266   0.02978
   0.97528  -1.67592   0.02887
   0.97768  -1.67901   0.02801
   0.97995  -1.68195   0.02718
   0.98210  -1.68473   0.02640
   0.98413  -1.68735   0.02565
   0.98605  -1.68982   0.02495
   0.98784  -1.69212   0.02429
   0.98951  -1.69427   0.02368
   0.99105  -1.69625   0.02311
   0.99248  -1.69808   0.02258
   0.99378  -1.69975   0.02210
   0.99496  -1.70126   0.02166
   0.99602  -1.70262   0.02127
   0.99695  -1.70381   0.02093
   0.99776  -1.70484   0.02062
   0.99844  -1.70572   0.02037
   0.99900  -1.70643   0.02016
   0.99944  -1.70699   0.02000
   0.99975  -1.70739   0.01988
   0.99994  -1.70763   0.01981
   1.00000  -1.70771   0.01979

  BLADE SURFACE COORDINATES GENERATED USING INTYPE = 1

  XUP          YUP       XLOW      YLOW 
   0.00001   0.01979  -0.00001  -0.01979
   0.00007   0.01980   0.00005  -0.02009
   0.00026   0.01965   0.00024  -0.02080
   0.00057   0.01931   0.00055  -0.02188
   0.00101   0.01874   0.00099  -0.02331
   0.00157   0.01795   0.00155  -0.02508
   0.00225   0.01693   0.00223  -0.02718
   0.00306   0.01567   0.00304  -0.02962
   0.00399   0.01417   0.00397  -0.03237
   0.00505   0.01242   0.00503  -0.03544
   0.00623   0.01043   0.00621  -0.03882
   0.00753   0.00819   0.00751  -0.04251
   0.00896   0.00570   0.00894  -0.04651
   0.01050   0.00297   0.01048  -0.05080
   0.01217  -0.00002   0.01215  -0.05539
   0.01396  -0.00325   0.01394  -0.06027
   0.01588  -0.00673   0.01586  -0.06543
   0.01791  -0.01045   0.01789  -0.07088
   0.02006  -0.01443   0.02004  -0.07661
   0.02233  -0.01864   0.02231  -0.08262
   0.02473  -0.02311   0.02471  -0.08889
   0.02724  -0.02781   0.02722  -0.09543
   0.02986  -0.03276   0.02984  -0.10224
   0.03261  -0.03795   0.03259  -0.10930
   0.03547  -0.04337   0.03545  -0.11661
   0.03845  -0.04903   0.03843  -0.12417
   0.04154  -0.05492   0.04152  -0.13198
   0.04475  -0.06105   0.04473  -0.14002
   0.04807  -0.06740   0.04805  -0.14830
   0.05150  -0.07398   0.05148  -0.15681
   0.05505  -0.08078   0.05503  -0.16554
   0.05870  -0.08780   0.05868  -0.17450
   0.06247  -0.09505   0.06245  -0.18367
   0.06634  -0.10250   0.06632  -0.19305
   0.07032  -0.11017   0.07030  -0.20263
   0.07441  -0.11805   0.07439  -0.21242
   0.07861  -0.12614   0.07859  -0.22240
   0.08291  -0.13443   0.08289  -0.23257
   0.08731  -0.14292   0.08729  -0.24293
   0.09182  -0.15160   0.09180  -0.25347
   0.09643  -0.16048   0.09641  -0.26418
   0.10114  -0.16955   0.10112  -0.27506
   0.10595  -0.17880   0.10593  -0.28611
   0.11086  -0.18824   0.11084  -0.29732
   0.11586  -0.19785   0.11584  -0.30869
   0.12096  -0.20764   0.12094  -0.32020
   0.12616  -0.21761   0.12614  -0.33186
   0.13145  -0.22774   0.13143  -0.34366
   0.13683  -0.23804   0.13681  -0.35560
   0.14230  -0.24850   0.14228  -0.36766
   0.14785  -0.25911   0.14783  -0.37985
   0.15350  -0.26988   0.15348  -0.39216
   0.15924  -0.28081   0.15922  -0.40459
   0.16505  -0.29187   0.16503  -0.41712
   0.17096  -0.30308   0.17094  -0.42977
   0.17694  -0.31443   0.17692  -0.44251
   0.18300  -0.32592   0.18298  -0.45535
   0.18915  -0.33753   0.18913  -0.46828
   0.19537  -0.34928   0.19535  -0.48130
   0.20167  -0.36115   0.20165  -0.49440
   0.20804  -0.37314   0.20802  -0.50758
